<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19860313,000000,0.06366,0.07137,0.06366,0.07137,1447284802,0
MSFT.US,D,19860314,000000,0.07137,0.07137,0.07137,0.07137,432254410,0
MSFT.US,D,19860317,000000,0.07137,0.07137,0.07137,0.07137,186798536,0
MSFT.US,D,19860318,000000,0.07137,0.07137,0.07137,0.07137,95055577,0
MSFT.US,D,19860319,000000,0.07137,0.07137,0.07137,0.07137,67181222,0
MSFT.US,D,19860320,000000,0.07137,0.07137,0.06366,0.07137,81966746,0
MSFT.US,D,19860321,000000,0.07137,0.07137,0.06366,0.06366,84148218,0
MSFT.US,D,19860324,000000,0.06366,0.06366,0.06366,0.06366,91581386,0
MSFT.US,D,19860325,000000,0.06366,0.06366,0.06366,0.06366,45002933,0
MSFT.US,D,19860326,000000,0.06366,0.07137,0.06366,0.06366,31914110,0
MSFT.US,D,19860327,000000,0.06366,0.07137,0.06366,0.07137,23632599,0
MSFT.US,D,19860331,000000,0.07137,0.07137,0.06366,0.07137,18057732,0
MSFT.US,D,19860401,000000,0.07137,0.07137,0.06366,0.06366,15553078,0
MSFT.US,D,19860402,000000,0.06366,0.07137,0.06366,0.07137,37892957,0
MSFT.US,D,19860403,000000,0.07137,0.07137,0.07137,0.07137,32318084,0
MSFT.US,D,19860404,000000,0.07137,0.07137,0.07137,0.07137,37286995,0
MSFT.US,D,19860407,000000,0.07137,0.07137,0.06366,0.06366,23228626,0
MSFT.US,D,19860408,000000,0.06366,0.07137,0.06366,0.07137,14381550,0
MSFT.US,D,19860409,000000,0.07137,0.07137,0.07137,0.07137,17047791,0
MSFT.US,D,19860410,000000,0.07137,0.07137,0.07137,0.07137,19471644,0
MSFT.US,D,19860411,000000,0.07137,0.07137,0.07137,0.07137,24157770,0
MSFT.US,D,19860414,000000,0.07137,0.07137,0.07137,0.07137,17047791,0
MSFT.US,D,19860415,000000,0.07137,0.07137,0.07137,0.07137,13048429,0
MSFT.US,D,19860416,000000,0.07137,0.07137,0.07137,0.07137,44760552,0
MSFT.US,D,19860417,000000,0.07137,0.07137,0.07137,0.07137,30863775,0
MSFT.US,D,19860418,000000,0.07137,0.07137,0.07137,0.07137,30338606,0
MSFT.US,D,19860421,000000,0.07137,0.07137,0.07137,0.07137,32156499,0
MSFT.US,D,19860422,000000,0.07137,0.07137,0.07137,0.07137,21814704,0
MSFT.US,D,19860423,000000,0.07137,0.07137,0.07137,0.07137,21895508,0
MSFT.US,D,19860424,000000,0.07137,0.0795,0.07137,0.0795,87460818,0
MSFT.US,D,19860425,000000,0.0795,0.08739,0.0795,0.08739,120344473,0
MSFT.US,D,19860428,000000,0.08739,0.08739,0.0795,0.08739,40518798,0
MSFT.US,D,19860429,000000,0.08739,0.08739,0.0795,0.0795,42538680,0
MSFT.US,D,19860430,000000,0.0795,0.0795,0.0795,0.0795,43346634,0
MSFT.US,D,19860501,000000,0.0795,0.0795,0.0795,0.0795,76230288,0
MSFT.US,D,19860502,000000,0.0795,0.0795,0.0795,0.0795,28399517,0
MSFT.US,D,19860505,000000,0.0795,0.0795,0.0795,0.0795,4564934,0
MSFT.US,D,19860506,000000,0.0795,0.0795,0.0795,0.0795,13654390,0
MSFT.US,D,19860507,000000,0.0795,0.0795,0.0795,0.0795,7231169,0
MSFT.US,D,19860508,000000,0.0795,0.0795,0.0795,0.0795,4968907,0
MSFT.US,D,19860509,000000,0.0795,0.0795,0.0795,0.0795,8523897,0
MSFT.US,D,19860512,000000,0.0795,0.0795,0.0795,0.0795,14704730,0
MSFT.US,D,19860513,000000,0.0795,0.0795,0.0795,0.0795,5372882,0
MSFT.US,D,19860514,000000,0.0795,0.0795,0.0795,0.0795,13048429,0
MSFT.US,D,19860515,000000,0.0795,0.0795,0.0795,0.0795,5332484,0
MSFT.US,D,19860516,000000,0.0795,0.0795,0.0795,0.0795,16765008,0
MSFT.US,D,19860519,000000,0.0795,0.0795,0.0795,0.0795,15431888,0
MSFT.US,D,19860520,000000,0.0795,0.0795,0.0795,0.0795,86935655,0
MSFT.US,D,19860521,000000,0.0795,0.0795,0.0795,0.0795,11351731,0
MSFT.US,D,19860522,000000,0.0795,0.0795,0.0795,0.0795,6180833,0
MSFT.US,D,19860523,000000,0.0795,0.0795,0.0795,0.0795,5736457,0
MSFT.US,D,19860527,000000,0.0795,0.0795,0.0795,0.0795,19471644,0
MSFT.US,D,19860528,000000,0.0795,0.0795,0.0795,0.0795,21774315,0
MSFT.US,D,19860529,000000,0.0795,0.08739,0.0795,0.08739,64070609,0
MSFT.US,D,19860530,000000,0.08739,0.08739,0.08739,0.08739,37973750,0
MSFT.US,D,19860602,000000,0.08739,0.08739,0.08739,0.08739,27672366,0
MSFT.US,D,19860603,000000,0.08739,0.08739,0.0795,0.08739,7029183,0
MSFT.US,D,19860604,000000,0.08739,0.08739,0.0795,0.08739,6625208,0
MSFT.US,D,19860605,000000,0.08739,0.08739,0.0795,0.08739,19229264,0
MSFT.US,D,19860606,000000,0.08739,0.08739,0.08739,0.08739,4807313,0
MSFT.US,D,19860609,000000,0.08739,0.08739,0.0795,0.0795,17774946,0
MSFT.US,D,19860610,000000,0.0795,0.0795,0.0795,0.0795,4807313,0
MSFT.US,D,19860611,000000,0.0795,0.0795,0.0795,0.0795,3231809,0
MSFT.US,D,19860612,000000,0.0795,0.0795,0.0795,0.0795,19229264,0
MSFT.US,D,19860613,000000,0.0795,0.0795,0.0795,0.0795,11068946,0
MSFT.US,D,19860616,000000,0.0795,0.0795,0.0795,0.0795,13452404,0
MSFT.US,D,19860617,000000,0.0795,0.0795,0.0795,0.0795,18340511,0
MSFT.US,D,19860618,000000,0.0795,0.0795,0.0795,0.0795,6100040,0
MSFT.US,D,19860619,000000,0.0795,0.0795,0.0795,0.0795,11876896,0
MSFT.US,D,19860620,000000,0.0795,0.0795,0.0795,0.0795,5332484,0
MSFT.US,D,19860623,000000,0.0795,0.0795,0.0795,0.0795,64797767,0
MSFT.US,D,19860624,000000,0.0795,0.0795,0.0795,0.0795,20441189,0
MSFT.US,D,19860625,000000,0.0795,0.0795,0.0795,0.0795,21370336,0
MSFT.US,D,19860626,000000,0.0795,0.0795,0.07137,0.07137,26864409,0
MSFT.US,D,19860627,000000,0.07137,0.07137,0.07137,0.07137,14583538,0
MSFT.US,D,19860630,000000,0.07137,0.0795,0.07137,0.0795,87460818,0
MSFT.US,D,19860701,000000,0.0795,0.0795,0.0795,0.0795,66736848,0
MSFT.US,D,19860702,000000,0.0795,0.0795,0.0795,0.0795,73806426,0
MSFT.US,D,19860703,000000,0.0795,0.0795,0.0795,0.0795,19835227,0
MSFT.US,D,19860707,000000,0.0795,0.0795,0.07137,0.07137,19714030,0
MSFT.US,D,19860708,000000,0.07137,0.07137,0.07137,0.07137,19996818,0
MSFT.US,D,19860709,000000,0.07137,0.07137,0.07137,0.07137,64716967,0
MSFT.US,D,19860710,000000,0.07137,0.07137,0.06366,0.06366,65767305,0
MSFT.US,D,19860711,000000,0.06366,0.07137,0.06366,0.07137,24400158,0
MSFT.US,D,19860714,000000,0.06366,0.07137,0.06366,0.07137,40114828,0
MSFT.US,D,19860715,000000,0.07137,0.07137,0.06366,0.07137,18502105,0
MSFT.US,D,19860716,000000,0.07137,0.07137,0.07137,0.07137,13129223,0
MSFT.US,D,19860717,000000,0.07137,0.07137,0.07137,0.07137,9735823,0
MSFT.US,D,19860718,000000,0.07137,0.07137,0.07137,0.07137,17290176,0
MSFT.US,D,19860721,000000,0.07137,0.07137,0.07137,0.07137,4928511,0
MSFT.US,D,19860722,000000,0.07137,0.0795,0.07137,0.0795,14745128,0
MSFT.US,D,19860723,000000,0.0795,0.0795,0.07137,0.07137,29167073,0
MSFT.US,D,19860724,000000,0.0795,0.0795,0.0795,0.0795,19835227,0
MSFT.US,D,19860725,000000,0.0795,0.0795,0.0795,0.0795,28682299,0
MSFT.US,D,19860728,000000,0.0795,0.0795,0.0795,0.0795,16563018,0
MSFT.US,D,19860729,000000,0.0795,0.0795,0.07137,0.07137,19714030,0
MSFT.US,D,19860730,000000,0.07137,0.07137,0.07137,0.07137,37044610,0
MSFT.US,D,19860731,000000,0.07137,0.07137,0.07137,0.07137,21935903,0
MSFT.US,D,19860801,000000,0.07137,0.07137,0.07137,0.07137,18098127,0
MSFT.US,D,19860804,000000,0.07137,0.07137,0.07137,0.07137,17451769,0
MSFT.US,D,19860805,000000,0.07137,0.07137,0.07137,0.07137,3958967,0
MSFT.US,D,19860806,000000,0.07137,0.07137,0.06366,0.07137,25692881,0
MSFT.US,D,19860807,000000,0.07137,0.07137,0.06366,0.07137,5130495,0
MSFT.US,D,19860808,000000,0.07137,0.07137,0.07137,0.07137,5817255,0
MSFT.US,D,19860811,000000,0.07137,0.07137,0.07137,0.07137,11149740,0
MSFT.US,D,19860812,000000,0.07137,0.07137,0.07137,0.07137,14017969,0
MSFT.US,D,19860813,000000,0.07137,0.07137,0.07137,0.07137,9655027,0
MSFT.US,D,19860814,000000,0.07137,0.0795,0.07137,0.0795,28237928,0
MSFT.US,D,19860815,000000,0.0795,0.0795,0.07137,0.0795,8564295,0
MSFT.US,D,19860818,000000,0.0795,0.0795,0.07137,0.07137,17936540,0
MSFT.US,D,19860819,000000,0.07137,0.07137,0.07137,0.07137,28601509,0
MSFT.US,D,19860820,000000,0.07137,0.07137,0.07137,0.07137,29126676,0
MSFT.US,D,19860821,000000,0.07137,0.0795,0.07137,0.07137,69483883,0
MSFT.US,D,19860822,000000,0.07137,0.07137,0.07137,0.07137,8079523,0
MSFT.US,D,19860825,000000,0.07137,0.07137,0.07137,0.07137,3393398,0
MSFT.US,D,19860826,000000,0.07137,0.07137,0.07137,0.07137,15229898,0
MSFT.US,D,19860827,000000,0.07137,0.07137,0.07137,0.07137,13371612,0
MSFT.US,D,19860828,000000,0.07137,0.07137,0.07137,0.07137,4807313,0
MSFT.US,D,19860829,000000,0.07137,0.07137,0.07137,0.07137,35671090,0
MSFT.US,D,19860902,000000,0.07137,0.07137,0.07137,0.07137,7311965,0
MSFT.US,D,19860903,000000,0.07137,0.07137,0.06366,0.06366,25692881,0
MSFT.US,D,19860904,000000,0.07137,0.07137,0.07137,0.07137,55304323,0
MSFT.US,D,19860905,000000,0.07137,0.0795,0.07137,0.0795,36963807,0
MSFT.US,D,19860908,000000,0.0795,0.0795,0.07137,0.07137,13492804,0
MSFT.US,D,19860909,000000,0.07137,0.0795,0.07137,0.0795,52638082,0
MSFT.US,D,19860910,000000,0.0795,0.0795,0.07137,0.07137,15270297,0
MSFT.US,D,19860911,000000,0.07137,0.0795,0.07137,0.07137,50012236,0
MSFT.US,D,19860912,000000,0.07137,0.07137,0.07137,0.07137,34297571,0
MSFT.US,D,19860915,000000,0.07137,0.07137,0.07137,0.07137,31550530,0
MSFT.US,D,19860916,000000,0.07137,0.07137,0.07137,0.07137,7271568,0
MSFT.US,D,19860917,000000,0.07137,0.07137,0.07137,0.07137,11270935,0
MSFT.US,D,19860918,000000,0.07137,0.07137,0.07137,0.07137,7513956,0
MSFT.US,D,19860919,000000,0.07137,0.07137,0.07137,0.07137,3514590,0
MSFT.US,D,19860922,000000,0.07137,0.07137,0.07137,0.07137,6302032,0
MSFT.US,D,19860923,000000,0.07137,0.07137,0.07137,0.07137,8362301,0
MSFT.US,D,19860924,000000,0.07137,0.07137,0.07137,0.07137,6706002,0
MSFT.US,D,19860925,000000,0.07137,0.07137,0.07137,0.07137,7231169,0
MSFT.US,D,19860926,000000,0.07137,0.07137,0.07137,0.07137,3272207,0
MSFT.US,D,19860929,000000,0.07137,0.07137,0.07137,0.07137,8685487,0
MSFT.US,D,19860930,000000,0.07137,0.07137,0.07137,0.07137,7271568,0
